layer,preprocessed_raster,description
Health: Hospitals,Sem_hospitals_final.tif,"Linear distance to the closest hospital in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Spatial points with the location of hospitals, data from WB CPL dataset and OSM 2017."
Transit: Bus (Trans Semarang),BRT_stops.tif,"Linear distance to the closest BRT shelter in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Spatial points with BRT shelters, data from WB CPL dataset."
Transit: Mini bus,Sem_bus_routes.tif,"Linear distance to the closest mini bus (Angkutan) route in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Spatial lines with Angkutan routes, data from WB CPL dataset."
Transit: Train stations,Trainstations.tif,"Linear distance to the closest train station in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Spatial points with train stations, data from WB CPL dataset."
Urban services: Cemeteries,cemeteries.tif,"Linear distance to the closest cemetery in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Spatial points with the location of cemeteries, data from WB CPL dataset."
Urban services: Cultural centers,Cultural_final.tif,"Linear distance to the closest cultural center in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Spatial points with the location of museums, landmarks, monuments, and tourist attractions, data from OSM 2017."
Urban services: Fire Stations,fire_station.tif,"Linear distance to the closest fire station in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of fire stations, data from OSM 2017."
Urban services: Goverment offices,Sem_govmnt_final.tif,"Linear distance to the closest government offices in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Spatial points with the location of government offices, data from WB CPL dataset and OSM 2017."
Urban services: Green open space,green_open_space.tif,"Linear distance to the closest green open space in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of urban parks, gardens, and forests data from WB CPL dataset."
Urban services: Libraries,libraries.tif,"Linear distance to the closest library in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of libraries, data from OSM 2017."
Urban services: Places of Worship,worship.tif,"Linear distance to the closest place of worship in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of places of worship, data from WB CPL dataset."
Urban services: Police Stations,police_stations.tif,"Linear distance to the closest police station in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of police stations, data from OSM 2017."
Urban services: Post Offices,post_office.tif,"Linear distance to the closest post office in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of post offices, data from WB CPL dataset and OSM 2017."
Urban services: Recreational Facilities,recreational.tif,"Linear distance to the closest recreation facilities in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of recreation facilities such as community centers, sports facilities, bars, cinemas and natural areas data from WB CPL dataset and OSM 2017."
Urban services: Waste collection points,waste_collect_points.tif,"Linear distance to the closest garbage collection point in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Spatial points with the waste collection points, data from WB CPL dataset."
