layer,preprocessed_raster,description
Health: Clinics,Clinics_final.tif,"Linear distance to the closest clinic in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Spatial points with the location of clinics, data from WB CPL dataset and OSM 2017."
Health: Hospitals,Hospitals_final.tif,"Linear distance to the closest hospital in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Spatial points with the location of hospitals, data from WB CPL dataset and OSM 2017."
Transit: Bus (Trans Sarbagita),Den_BRT.tif,Linear distance to the closest Trans Sarbagita shelter in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: http://www.bali-backpacker.com/trans-sarbagita-bus-stop-halte-shelter/
Transit: Mini bus (Angkutan),Den_angkutan_points.tif,"Linear distance to the closest mini bus (Angkutan) route in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Spatial lines with Angkutan routes, data from WB CPL dataset and OSM 2017."
Urban services: Cemeteries,Cemeteries.tif,"Linear distance to the closest cemetery in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Spatial points with the location of cemeteries, data from WB CPL dataset and OSM 2017."
Urban services: Cultural centers,cultural_final.tif,"Linear distance to the closest cultural center in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Point coordinates with the location of museums, landmarks, monuments, and tourist attractions, data from OSM 2017."
Urban services: Fire Stations,fire_stations.tif,"Linear distance to the closest fire station in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of fire stations, data from OSM 2017."
Urban services: Goverment offices,Den_govmt_final.tif,"Linear distance to the closest government offices in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrieved from: Spatial points with the location of government offices, data from WB CPL dataset and OSM 2017."
Urban services: Green open space,Den_parks_final.tif,"Linear distance to the closest green open space in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of urban parks, gardens, forests, and grasslands data from WB CPL dataset and OSM 2017."
Urban services: Libraries,libraries.tif,"Linear distance to the closest library in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of libraries, data from OSM 2017."
Urban services: Places of Worship,worship.tif,"Linear distance to the closest place of worship in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of places of worship, data from WB CPL dataset."
Urban services: Police Stations,police_stations.tif,"Linear distance to the closest police station in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of police stations, data from OSM 2017."
Urban services: Post Offices,post_offices.tif,"Linear distance to the closest post office in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of post offices, data from OSM 2017."
Urban services: Recreational Facilities,Denp_recreational_final.tif,"Linear distance to the closest recreation facilities in meters. Distances were estimated using R: A Language and Environment for Statistical Computing version 3.4.4 (2018-03-15) and the Package Raster: Geographic Data Analysis and Modeling version 2.6-7. Raw data retrived from: Spatial points with the location of recreation facilities such as community centers, sports facilities, bars, cinemas beaches and natural areas data from WB CPL dataset and OSM 2017."
